metric,i,rtt_ms
ack,318,0.2472
ack,319,0.2391
ack,320,0.2440
ack,321,0.2407
ack,322,0.2451
ack,323,0.2364
ack,324,0.2302
ack,325,0.2273
ack,326,0.2440
ack,327,0.2464
ack,328,0.2450
ack,329,0.2567
ack,330,0.2280
ack,331,0.2254
ack,332,0.2341
ack,333,0.2281
ack,334,0.2611
ack,335,0.2334
ack,336,0.2393
ack,337,0.2553
ack,338,0.2409
ack,339,0.2414
ack,340,0.2826
ack,341,0.2647
ack,342,0.2372
ack,343,0.2380
ack,344,0.2351
ack,345,0.2518
ack,346,0.2356
ack,347,0.2388
ack,348,0.2428
ack,349,0.2505
ack,350,0.2332
ack,351,0.2469
ack,352,0.2443
ack,353,0.2311
ack,354,0.2246
ack,355,0.2326
ack,356,0.2389
ack,357,0.2349
ack,358,0.2408
ack,359,0.2445
ack,360,0.2493
ack,361,0.2386
ack,362,0.2297
ack,363,0.2316
ack,364,0.2378
ack,365,0.2468
ack,366,0.2239
ack,367,0.2304
ack,368,0.2440
ack,369,0.2375
ack,370,0.2460
ack,371,0.2466
ack,372,0.2297
ack,373,0.2322
ack,374,0.2349
ack,375,0.2599
ack,376,0.2326
ack,377,0.2363
ack,378,0.2598
ack,379,0.2401
ack,380,0.2435
ack,381,0.2601
ack,382,0.2753
ack,383,0.3025
ack,384,0.2403
ack,385,0.2496
ack,386,0.2316
ack,387,0.2265
ack,388,0.2500
ack,389,0.2291
ack,390,0.3304
ack,391,0.2981
ack,392,0.2980
ack,393,0.2762
ack,394,0.2860
ack,395,0.2616
ack,396,0.2435
ack,397,0.2717
ack,398,0.2482
ack,399,0.2428
ack,400,0.2310
ack,401,0.2330
ack,402,0.2335
ack,403,0.2678
ack,404,0.2252
ack,405,0.2704
ack,406,0.2683
ack,407,0.2692
ack,408,0.2786
ack,409,0.5828
ack,410,0.6154
ack,411,0.2429
ack,412,0.2404
ack,413,0.2730
ack,414,0.2564
ack,415,0.2157
ack,416,0.2430
ack,417,0.2387
ack,418,0.2206
ack,419,0.2629
ack,420,0.2482
ack,421,0.2218
ack,422,0.2343
